next,id,drop,course,reimbursement,semester,regard,card,take,clicker,offer,remote,know,registration,room,wifi,session,require,issue,discus,detail,fc,help,cancellation,guest,major,internet,timetable,math,connect,lose,add,provide,book,world,quiz,fest,event,meet,common,projector,login,list,meeting,speaker,timing,attach,reimburse,work,cancel,Target_Class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406345502,0,0,0,0,0.643110789,0,0,0,0,0,0,0,0,0,0,0,0.214370263,0,0,0,0,0,0,0,0,0.446317969,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188923504,0,0.173352459,0,0,0,0.230175004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196668963,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.535578011,0,0,0,0,0.376730306,0,0,0,0,0,0,0,0,0,0,0,0.188365153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170207121,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33656489,0,0,0,0,0.532671116,0,0,0,0,0,0,0,0,0,0,0,0.177557039,0,0,0,0,0,0,0,0,0.369672994,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48860017,0,0,0,0,0.515528517,0,0,0,0,0,0.314047157,0,0,0,0,0,0.257764258,0,0,0,0,0,0,0,0,0.268332041,0,0,0,0,0,0,0,0,1
0,0,0.617600544,0.181042474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273430521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0.693198427,0.406406243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20828581,0,0,0,0,0,0,0,2
0,0,0.555612101,0.325742555,0,0.227140263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0.099828614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150772298,0,0,0,0,0,0,0,0,0,0.179266028,0,0,0.190525481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0.421875994,0,0,0,0,0,0,0,0,0,0.351555299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201290301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162160618,0,0,0,0,0,0,0,2
0,0,0,0.294420479,0,0,0,0,0,0,0,0,0,0.245344796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0.12511493,0,0.174485265,0.231287207,0,0,0,0.208520121,0,0.334614704,0,0,0,0,0,0,0,0,0.18896251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0.422913156,0,0,0.371916338,0,0.345782986,0,0,0,0,0.206615469,0,0.165779144,0,0,0,0,0,0,0,0,0,0,0,0,0.222621426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190609512,0,0,0,0,0,0,0,2
0.249413263,0,0,0.292450483,0,0.203925703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449648253,0,0,0,0,0,0,0,2
0.155564957,0,0,0.182408289,0,0.127193289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163778742,0,0,0.17406546,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14022813,0,0,0,0,0,0,0,2
0,0,0,0.138996236,0,0.193844133,0,0,0,0,0,0,0,0.463310205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217735327,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219248354,0,0,0,0,0,0.287099112,0.27705619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682208213,0,0,0,0,2
0,0,0,0.286335747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283144151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448540259,0,0,0,0,2
0,0,0,0.186358702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355670384,0,0,0,0,0,0,0,0,0,0,0.583855709,0,0,0,0,2
0,0,0,0.219599292,0,0,0,0,0,0,0,0,0.146827306,0.365990461,0,0,0,0,0,0,0,0,0.157823189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179050952,0,0,0,0,0,0,0,0.171999348,0,0,0,0,2
0,0,0,0.158673356,0,0,0,0,0,0,0,0,0,0.528899106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35126027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541233259,0,0.508014068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186853363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19193983,0,0,0,0.461801448,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198617064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408047518,0,0,0,0.490875017,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30426906,0,0,0,0.183015548,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0.352194718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336714126,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0.411469606,0,0,0,0,0,0,0,0.161293348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460403473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0.362520374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0.346572548,0,0,0,0,0,0,0,0.135854133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162290627,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176307295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40441365,0,0.181497146,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0.378543886,0,0,0,0,0,0.136914566,0,0.135112361,0,0,0,0.157421604,0.183859774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421737526,0,0,0,0,0,0,0,0,0,0,3
