exact,hear,summer,economics,brochak,session,dear,give,philosophy,event,please,oaa,clash,newly,come,semester,permission,po,open,refer,one,part,instead,could,need,jhawar,join,programme,timetable,tentative,unable,ds,rich,wait,soon,minor,send,civilisation,decide,would,year,cs,know,thanks,u,sir,class,spring,faculty,however,fifth,visible,tomorrow,plan,another,do,look,second,still,unlist,message,prepare,timing,science,tell,foundation,enlist,english,spf,want,hence,fall,travel,page,offer,math,appropriate,upcoming,attend,like,fc,option,removal,thank,gain,theory,prepared,begin,compulsary,lit,offering,computation,abir,regard,check,psych,ashoka,issue,registration,date,intro,show,occur,vacation,fac,introduction,interdicsiplinary,remove,next,forgot,new,time,wold,prospective,hi,announce,pm,asap,wonder,curricular,taught,register,physic,bazaz,rathi,major,mind,academic,area,inform,hello,political,mahavir,advance,ct,list,happen,network,help,separate,grant,reistration,go,backpacker,th,registrarion,cts,access,plese,delete,possible,grateful,opt,course,take,slot,language,architecture,professor,clarity,unique,due,accordingly,return,world,share,switch,mental,pol,helpful,hope,hey,fix,co,tuesday,selection,change,held,forward,cognitive,history,let,addition,long,ir,correct,behaviour,trend,really,drop,needful,database,ev,query,add,psy,monsoon,two,admin,scalable,spanish,low,psychology,sem,right,thursday,likely,prof,interdicsplinary,nd,madam,chan,indian,literature,relation,health,connectivity,Target_Class
0,0,0,0,0,0,0.155279651,0,0,0,0,0,0,0,0.31282096,0.162315804,0,0,0,0,0,0,0,0,0.273311484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290570377,0,0,0,0,0,0,0,0,0,0,0,0,0.31282096,0,0,0,0,0,0,0,0,0.18834003,0,0,0,0,0,0,0,0,0,0.344181395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411197846,0.259209941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093687915,0,0,0,0,0,0,0,0,0.31282096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31282096,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0.13992811,0,0,0,0,0,0,0,0,0,0,0,0,0.319251124,0,0,0,0,0.284795257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378153818,0,0,0,0,0,0,0,0,0,0,0.620790395,0,0,0,0,0,0,0,0,0,0,0,0,0.271695745,0,0,0,0,0.19629394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19629394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343697951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0,0,0.130344252,0,0,0,0,0,0,0,0,0,0,0,0,0.297385199,0,0,0,0,0.265289259,0,0,0,0,0,0,0,0.35225357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385514435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35225357,0,0,0,0,0,0,0,0,0,0.265289259,0,0,0.198218578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191770403,0,0.233193319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35225357,0,0,0,0,0,0,0,0,0,0,0,0.32015763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0.224246148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543980182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394701091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135298823,0,0,0,0,0,0,0,0,0,0,0.357118365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419625415,0,0,0,0,0,0,0.419625415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,0,0,0,0.118406621,0,0,0.262451363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161908731,0,0,0.139810061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238537843,0.143616414,0,0,0,0,0,0,0,0.238537843,0,0,0,0,0,0,0,0,0.167529935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313553949,0.197657408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262451363,0,0,0,0,0.524902727,0,0,0,0,0.262451363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142881174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262451363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262451363,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249751888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367955922,0,0,0,0,0,0,0,0.367955922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483671819,0.304895915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40484366,0,0,0,0,0,0.40484366,0,0,0,0,0,0,0,0.11020049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,0,0,0,0,0,0,0,0.217182423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466078085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330276099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31953201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724168493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26554293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274762142,0.22343526,0,0,0.324173545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242215683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117168127,0.309262779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53108586,0,0,0.363393582,0,0,0,0,0,0,0,0,0,0,0.341809238,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0.323309649,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152472697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272949694,0,0,0,0,0.199452784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293850964,0,0.206377455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181931382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17601304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272949694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398905568,0,0,0,0,0,0.272949694,0,0,0.25673741,0,0,0,0.293850964,0,0,0,0,0,0,0,0,0.323309649,0,0,0,0,0,7
0,0,0,0,0,0,0,0,0,0,0,0,0.211823331,0,0,0,0,0,0,0,0.211823331,0,0,0,0,0.211823331,0,0,0.17552121,0,0,0,0,0,0,0,0,0,0,0.143776126,0,0,0,0,0.233058711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148767795,0,0,0,0,0,0.131145772,0,0,0,0,0,0,0,0,0,0,0.30857166,0,0,0,0.233058711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233058711,0.317198793,0,0,0,0.233058711,0,0,0,0.233058711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351042419,0,0,0,0,0,0,0,0,0,0,0,0,0.287552251,0,0,0,0,0,0,0,0.211823331,0,0,0,0,0,0.185069917,0,0,0,0,0,0,0,0,0,0,0,0,0,7
